num_lines,num_chars,num_tokens,num_IfStmt,avgTokenLength,numMethods,avgMethodLength,numSwitchStmt,numOfLoops,is_ai_generated
35,1716,245,0,7.004081633,3,0,0,0,0
22,343,64,0,5.359375,3,2,0,0,1
305,7924,1057,10,7.496688742,15,16,0,3,1
46,1389,144,7,9.645833333,3,1,0,0,1
53,779,171,1,4.555555556,4,2,0,0,0
50,1549,263,4,5.88973384,3,5,0,1,1
55,1260,206,4,6.116504854,1,27,0,2,1
187,3381,585,0,5.779487179,36,2,0,0,0
52,1632,172,0,9.488372093,4,4,0,0,0
6533,225882,23891,474,9.454690051,551,17,60,24,0
62,1748,307,4,5.693811075,2,6,0,2,1
151,3808,480,7,7.933333333,2,2,0,1,0
105,2611,352,2,7.417613636,14,2,0,0,1
31,332,70,0,4.742857143,3,0,0,0,0
138,4197,405,0,10.36296296,7,14,0,1,0
66,2059,303,4,6.795379538,1,14,0,0,0
84,2323,299,2,7.769230769,8,8,0,1,0
161,4570,518,12,8.822393822,5,7,0,0,0
43,964,189,0,5.100529101,9,2,0,0,1
336,14588,1727,43,8.44701795,49,27,2,2,1
35,885,136,1,6.507352941,1,20,0,2,0
156,3304,662,0,4.990936556,17,0,0,0,0
50,1335,254,2,5.255905512,2,11,0,3,1
110,3269,383,3,8.535248042,6,3,0,0,1
35,1099,93,1,11.8172043,2,2,0,0,0
38,919,172,0,5.343023256,4,0,0,0,1
40,1340,183,0,7.322404372,9,2,0,0,1
48,1473,246,4,5.987804878,3,5,0,1,1
11,147,20,0,7.35,1,0,0,0,0
62,2095,335,0,6.253731343,1,4,0,0,1
83,2129,249,0,8.550200803,16,2,0,0,0
73,2406,266,1,9.045112782,2,5,0,0,1
109,4023,385,5,10.44935065,2,10,0,0,1
77,2648,269,1,9.843866171,1,38,0,1,0
67,1971,304,1,6.483552632,1,5,0,0,0
160,5298,644,12,8.226708075,4,17,0,1,1
73,1184,213,0,5.558685446,6,0,0,0,0
38,978,111,0,8.810810811,1,4,0,0,0
228,5447,770,0,7.074025974,43,2,0,0,1
64,1779,186,0,9.564516129,5,3,0,0,1
260,8565,1082,20,7.915896488,14,7,0,4,1
40,999,178,0,5.612359551,0,0,0,0,0
18,634,67,0,9.462686567,1,0,0,0,1
88,1660,289,0,5.743944637,10,2,0,0,0
695,21452,2446,70,8.770237122,47,19,5,2,0
56,1222,236,0,5.177966102,3,2,0,0,1
40,1372,170,3,8.070588235,1,24,0,2,0
91,2221,264,0,8.412878788,13,2,0,0,0
8341,278990,30400,630,9.177302632,677,17,70,52,0
59,1943,159,0,12.22012579,1,12,0,0,0
115,2113,384,1,5.502604167,12,3,0,0,1
33,861,142,1,6.063380282,1,17,0,1,1
259,9571,1007,4,9.504468719,8,11,0,3,0
19,389,82,0,4.743902439,1,7,0,1,1
69,2471,281,2,8.793594306,1,31,0,1,1
58,1381,252,0,5.48015873,2,2,0,0,0
19,262,47,0,5.574468085,1,2,0,0,0
98,3295,365,3,9.02739726,7,13,0,1,0
25,627,103,0,6.087378641,1,2,0,0,1
25,651,119,0,5.470588235,1,11,0,1,1
93,2361,284,2,8.313380282,9,7,0,1,1
26,766,115,4,6.660869565,1,22,0,1,0
16,473,65,2,7.276923077,1,9,0,1,0
98,2417,316,3,7.648734177,3,5,0,2,0
94,1897,266,6,7.131578947,6,3,0,0,0
259,9042,858,1,10.53846154,18,9,0,0,1
142,3021,458,0,6.596069869,21,4,0,0,1
111,4147,486,7,8.532921811,2,41,0,5,1
55,1024,213,0,4.807511737,2,9,1,0,1
94,1835,277,0,6.624548736,16,2,0,0,1
46,1184,194,0,6.103092784,0,0,0,1,0
100,2611,331,0,7.888217523,13,2,0,0,0
48,1013,143,0,7.083916084,1,15,0,2,0
85,2340,311,6,7.524115756,1,28,0,2,0
9,212,33,0,6.424242424,0,0,0,0,0
109,3536,327,4,10.81345566,11,7,0,1,0
24,620,93,0,6.666666667,1,14,0,1,1
83,1866,260,0,7.176923077,4,13,0,0,0
284,9987,1029,3,9.705539359,5,11,0,1,1
79,1833,308,3,5.951298701,13,2,0,0,1
88,1734,330,0,5.254545455,7,2,0,0,0
87,2540,412,0,6.165048544,5,7,0,4,1
132,4362,562,6,7.761565836,0,0,0,0,0
98,2230,331,0,6.737160121,13,2,0,0,1
69,1983,197,0,10.06598985,6,2,0,0,1
115,4561,468,1,9.745726496,5,8,0,2,0
21,358,60,0,5.966666667,2,1,0,0,0
105,1914,318,0,6.018867925,20,2,0,0,0
55,1578,235,0,6.714893617,1,17,0,2,1
13,184,37,0,4.972972973,0,0,0,0,1
55,1071,186,0,5.758064516,7,2,0,0,1
162,6137,627,0,9.787878788,13,2,0,0,1
40,1136,136,0,8.352941176,4,7,0,0,1
120,3695,388,0,9.523195876,9,10,0,1,1
112,2830,386,7,7.331606218,10,3,0,0,1
41,1295,133,0,9.736842105,1,6,0,0,1
295,8096,1059,17,7.644948064,32,4,0,2,1
92,2393,341,4,7.017595308,6,11,0,2,1
28,993,178,0,5.578651685,1,0,0,0,0
106,1811,309,0,5.860841424,20,2,0,0,0
51,1695,232,0,7.306034483,3,4,0,0,1
154,4953,518,7,9.561776062,4,14,0,1,1
41,1334,224,0,5.955357143,0,0,0,0,0
176,6022,892,6,6.751121076,12,7,0,2,0
37,1080,142,4,7.605633803,1,13,0,0,1
159,3573,496,0,7.203629032,25,9,0,0,1
55,1135,169,1,6.715976331,1,23,0,2,0
33,900,153,0,6.405228758,0,0,0,0,0
59,988,150,0,6.586666667,8,2,0,0,1
50,1370,240,7,5.708333333,2,22,0,1,1
57,910,165,0,5.515151515,10,2,0,0,1
125,4087,548,10,7.458029197,3,12,0,2,1
53,1466,241,0,6.082987552,2,4,0,0,0
26,580,84,2,6.904761905,1,12,0,0,1
137,4500,634,11,7.097791798,3,14,0,2,0
38,1123,101,0,11.11881188,4,2,0,0,1
76,2432,232,0,10.48275862,5,3,0,0,1
41,1107,158,0,7.006329114,1,2,0,0,1
76,1921,197,1,9.751269036,2,7,0,0,0
32,878,94,0,9.340425532,1,4,0,0,1
591,23244,2346,5,9.907928389,12,10,0,15,0
35,873,74,0,11.7972973,1,8,0,0,0
71,1601,219,0,7.310502283,11,2,0,1,0
78,2265,253,1,8.95256917,6,2,0,0,1
27,1385,185,0,7.486486486,1,12,0,0,1
57,1788,195,0,9.169230769,4,4,0,0,1
93,3103,328,0,9.460365854,3,2,0,0,0
104,3139,348,0,9.020114943,9,7,0,0,1
63,3212,401,0,8.009975062,0,0,0,0,0
56,1149,200,0,5.745,1,8,0,1,0
79,2587,286,1,9.045454545,2,9,0,0,1
133,4450,500,6,8.9,5,7,0,2,0
43,1243,209,0,5.947368421,1,21,0,1,1
33,1075,87,0,12.35632184,1,6,0,0,0
218,5069,622,0,8.149517685,18,6,0,0,0
61,1696,188,1,9.021276596,3,2,0,0,0
46,1524,130,1,11.72307692,2,8,0,0,0
54,859,150,0,5.726666667,6,2,0,0,0
24,555,97,1,5.721649485,1,5,0,0,0
20,448,72,0,6.222222222,0,0,0,0,1
72,2356,258,1,9.131782946,2,5,0,0,1
64,2254,320,2,7.04375,19,2,0,0,1
43,1592,237,1,6.717299578,2,11,0,1,0
49,2302,365,0,6.306849315,0,0,0,0,0
568,27892,3052,108,9.138925295,78,43,0,2,1
142,3906,489,16,7.987730061,1,65,0,2,1
44,1232,250,3,4.928,1,15,0,1,1
99,2671,352,0,7.588068182,3,14,0,0,1
78,2894,240,2,12.05833333,4,8,0,0,0
175,6008,444,6,13.53153153,11,9,0,3,0
71,2027,340,4,5.961764706,1,13,0,0,0
73,2077,237,0,8.76371308,4,11,0,3,1
39,977,160,0,6.10625,7,2,0,0,1
90,1811,216,0,8.384259259,5,2,0,0,0
135,2498,274,4,9.116788321,10,2,0,0,0
40,1184,194,3,6.103092784,1,9,0,0,0
49,1321,212,0,6.231132075,0,0,0,0,0
74,2311,345,3,6.698550725,3,7,0,1,1
28,1012,81,0,12.49382716,3,1,0,0,0
62,1804,180,2,10.02222222,2,11,0,0,0
83,1547,293,0,5.279863481,1,3,0,0,1
24,921,122,2,7.549180328,1,19,0,3,0
95,1943,371,0,5.237196765,7,3,0,0,0
114,4375,642,1,6.814641745,8,4,0,0,1
217,5614,675,21,8.317037037,5,14,0,3,1
49,1586,272,4,5.830882353,1,15,0,1,0
207,6473,766,11,8.450391645,16,2,0,4,1
10,145,23,0,6.304347826,1,1,0,0,0
60,2206,165,0,13.36969697,3,4,0,0,0
41,1090,202,2,5.396039604,1,6,0,0,0
12,238,35,0,6.8,3,0,0,0,1
89,2601,395,5,6.584810127,5,21,0,3,0
211,6047,1023,9,5.911045943,15,1,0,1,0
47,1114,173,0,6.439306358,1,9,0,1,0
240,8277,1052,12,7.867870722,22,9,0,7,0
23,655,64,0,10.234375,3,2,0,0,0
62,1941,318,0,6.103773585,0,0,0,0,0
212,8959,977,5,9.169907881,10,25,0,2,1
121,3712,380,0,9.768421053,1,13,0,1,0
66,2196,224,3,9.803571429,2,24,0,1,1
119,3133,472,0,6.637711864,5,40,0,2,1
102,2457,278,3,8.838129496,2,2,0,0,0
17,436,62,0,7.032258065,2,2,0,0,1
72,1769,244,2,7.25,14,2,0,0,1
39,1268,163,1,7.779141104,3,6,0,1,1
62,1217,170,0,7.158823529,8,2,0,0,1
37,968,235,0,4.119148936,1,8,0,0,1
117,4751,542,3,8.765682657,5,9,0,0,0
38,586,100,0,5.86,6,2,0,0,1
80,3283,208,0,15.78365385,5,4,0,0,0
47,1189,216,0,5.50462963,1,15,0,2,1
36,1077,181,0,5.950276243,0,0,0,0,0
76,1103,204,0,5.406862745,4,4,0,0,0
28,883,147,0,6.006802721,0,0,0,0,1
30,849,116,3,7.318965517,1,20,0,1,1
76,2158,219,1,9.853881279,3,8,0,0,0
52,1079,173,1,6.23699422,6,2,0,0,1
29,562,91,0,6.175824176,4,2,0,0,1
28,1005,168,0,5.982142857,1,0,0,0,0
71,2085,209,0,9.976076555,6,3,0,0,1
66,1375,232,0,5.926724138,3,5,0,0,1
73,2045,237,0,8.628691983,8,2,0,1,1
25,529,82,0,6.451219512,0,0,0,0,1
57,2134,174,1,12.26436782,4,2,0,0,1
35,626,120,0,5.216666667,4,0,0,0,1
47,977,142,1,6.88028169,1,26,0,3,0
51,1925,148,0,13.00675676,2,5,0,0,1
72,1937,201,0,9.63681592,6,7,0,0,1
68,2085,326,3,6.395705521,5,19,0,1,1
220,4495,781,0,5.755441741,58,2,0,0,0
41,633,106,0,5.971698113,7,2,0,0,1
45,1285,200,4,6.425,1,26,1,1,0
86,2363,269,2,8.784386617,2,2,0,0,0
90,1519,283,0,5.367491166,11,3,0,0,1
28,1004,67,0,14.98507463,1,14,0,0,1
24,833,101,0,8.247524752,2,0,0,0,0
142,5307,706,5,7.516997167,3,3,0,1,0
17,496,68,0,7.294117647,1,0,0,0,1
12,177,31,0,5.709677419,2,2,0,0,0
158,4923,627,11,7.851674641,4,12,0,3,0
95,3391,488,0,6.948770492,29,2,0,0,1
143,3899,574,0,6.792682927,3,30,0,7,1
